,categoria,descrpcion,id_clase,geometry,B1,B2,B3,B4,B5,B6,B7
510,,,3.0,POINT (-73.09595311701958 -39.46090655035578),0.023245000000000002,0.028855000000000006,0.07545375000000001,0.054485000000000006,0.4416025,0.20202250000000002,0.0991725
511,,,3.0,POINT (-73.09677930536164 -39.460596729727506),0.020123749999999996,0.024578749999999996,0.06827624999999998,0.046001249999999994,0.42434625000000004,0.19773249999999998,0.0901525
512,,,3.0,POINT (-73.09593934721387 -39.4630064457252),0.023849999999999996,0.03343375,0.07164499999999999,0.06877125,0.38766125,0.23720875,0.12025125
513,,,3.0,POINT (-73.09027995707076 -39.460321333613486),0.023038749999999997,0.03358499999999999,0.06775375,0.061071249999999994,0.3573425,0.22877999999999998,0.11642875
514,,,3.0,POINT (-73.09139531133255 -39.461450457680975),0.024221249999999986,0.03425874999999999,0.06911500000000001,0.06485250000000001,0.38786750000000003,0.22721249999999998,0.11872500000000002
515,,,3.0,POINT (-73.09894116485673 -39.46359854737033),0.027865,0.037709999999999994,0.07368000000000002,0.061360000000000026,0.37628999999999996,0.2348575,0.11355500000000002
516,,,3.0,POINT (-73.10242492569908 -39.46359854737033),0.03322749999999999,0.03691249999999999,0.0716175,0.057042499999999996,0.4053575,0.2339775,0.1167725
517,,,3.0,POINT (-73.10164004677412 -39.46114063705268),0.030917499999999987,0.03655499999999999,0.06805624999999998,0.06053499999999998,0.39877125,0.24012375,0.12437625
518,,,3.0,POINT (-73.11210509910688 -39.458675841832225),0.02082500000000001,0.027067499999999994,0.07478000000000001,0.05374249999999997,0.44517750000000006,0.21197749999999999,0.10041
519,,,3.0,POINT (-73.20780524872892 -39.454365892647786),0.031,0.035619999999999985,0.07219500000000001,0.05294500000000002,0.435965,0.2365625,0.11718499999999998
520,,,3.0,POINT (-73.20725445650088 -39.45497176409863),0.032017500000000004,0.0355925,0.073515,0.05132249999999999,0.4627225,0.2320525,0.109595
521,,,3.0,POINT (-73.20265534139676 -39.44739837096307),0.0338325,0.03874124999999999,0.07473874999999999,0.06274874999999999,0.39368375,0.2349125,0.11594749999999998
522,,,3.0,POINT (-73.20153998713498 -39.44928483434411),0.036004999999999995,0.04098249999999999,0.07575625,0.06705249999999999,0.3908375,0.2567475,0.134895
523,,,3.0,POINT (-73.19893749385749 -39.44818324988803),0.030312500000000006,0.03414874999999999,0.06959625,0.04910874999999999,0.427165,0.20701375000000002,0.09788000000000002
524,,,3.0,POINT (-73.20430083317805 -39.4511506430166),0.03204499999999999,0.0368575,0.07488999999999998,0.06160750000000001,0.3840175,0.23978,0.123895
525,,,3.0,POINT (-73.20350218444737 -39.446331211021246),0.028249999999999997,0.031549999999999995,0.06372499999999998,0.04587749999999999,0.4186125,0.198695,0.0894375
526,,,3.0,POINT (-73.20350218444737 -39.4511644128223),0.03307625,0.03887874999999999,0.07981250000000001,0.0688125,0.38914625,0.25431375,0.13236499999999998
527,,,3.0,POINT (-73.20807375994012 -39.45681003315973),0.02379500000000001,0.027480000000000004,0.06468750000000001,0.04805000000000001,0.44878,0.17752,0.08063749999999997
528,,,3.0,POINT (-73.20483785560035 -39.45602515423477),0.027700000000000002,0.031384999999999996,0.06405499999999997,0.0474725,0.40962000000000004,0.21104250000000002,0.09463500000000002
529,,,3.0,POINT (-73.20779836382611 -39.4535878986257),0.027287499999999992,0.030175000000000007,0.0679325,0.046152499999999985,0.33410500000000004,0.17903249999999998,0.08666000000000001
530,,,3.0,POINT (-73.20668989446717 -39.45550190161813),0.031,0.034245,0.06917000000000001,0.046015,0.45573749999999996,0.2143425,0.09768749999999998
531,,Bareland,5.0,POINT (-72.99265203465058 -39.487069181187685),0.04287999999999999,0.0564375,0.08520250000000001,0.10930625000000002,0.30065125000000004,0.33604375000000003,0.19781500000000002
532,,,5.0,POINT (-72.99281727231899 -39.48891433515162),0.03299375,0.04798125,0.08397874999999999,0.1135275,0.25892000000000004,0.20236625,0.13055
533,,,5.0,POINT (-72.98023166990826 -39.4872619584675),0.04149125000000001,0.05847250000000001,0.09374125,0.1341525,0.2555375,0.25473999999999997,0.158765
534,,,5.0,POINT (-72.98248991804323 -39.48836354292358),0.043704999999999994,0.06082375000000001,0.09585874999999999,0.137645,0.26121625,0.25832875,0.16333
535,,,5.0,POINT (-72.9984491228507 -39.48810191661528),0.03198999999999999,0.049205,0.08132499999999998,0.10722999999999999,0.29181,0.2198425,0.13272250000000002
536,,,5.0,POINT (-72.99386377755226 -39.485086329166755),0.043484999999999996,0.05467749999999999,0.08248,0.10503000000000001,0.3043225,0.3369925,0.19534
537,,,5.0,POINT (-72.99226648009095 -39.48453553693871),0.04106499999999999,0.0532475,0.08179249999999999,0.10349000000000003,0.30011499999999997,0.31909000000000004,0.18574249999999998
538,,,5.0,POINT (-72.98989807351033 -39.484163752184784),0.044749999999999984,0.05624499999999999,0.08699000000000001,0.11102499999999998,0.28466,0.3446925,0.20130750000000003
539,,,5.0,POINT (-72.99090326932651 -39.48442537849311),0.043704999999999994,0.05597000000000002,0.085285,0.11154750000000002,0.30404749999999997,0.3487075,0.20185750000000002
540,,,5.0,POINT (-72.9964662708297 -39.47919285232672),0.04989249999999999,0.06349125,0.09752249999999998,0.12443125000000002,0.314525,0.37393875000000004,0.2306225
541,,,5.0,POINT (-72.99674166694372 -39.4802944367828),0.04556125000000001,0.058321250000000005,0.0925175,0.1173225,0.32626750000000004,0.33750125000000003,0.1992725
542,,,5.0,POINT (-72.99521321851094 -39.48527910644656),0.03859,0.05133625,0.07915250000000001,0.10156499999999999,0.2950825,0.320245,0.18819000000000002
543,,,5.0,POINT (-72.99369853988382 -39.48770259224994),0.039965,0.05288999999999999,0.07714500000000002,0.10098750000000001,0.27344,0.3177425,0.18258000000000002
544,,,5.0,POINT (-72.99155045019447 -39.48866647864901),0.03611500000000001,0.05456749999999999,0.08803499999999997,0.12274000000000002,0.30341500000000005,0.236425,0.15034999999999998
545,,,5.0,POINT (-72.99796717965114 -39.48880417670602),0.03198999999999999,0.049177499999999985,0.08226,0.10951250000000001,0.28917,0.22746,0.14298
546,,,5.0,POINT (-72.99170191805717 -39.49217777910278),0.05091000000000001,0.06182749999999998,0.09141749999999998,0.116085,0.28345,0.32678999999999997,0.1960825
547,,,5.0,POINT (-72.98253122746029 -39.48774390166706),0.040157499999999985,0.053027500000000005,0.091115,0.1232625,0.2575725,0.24288749999999998,0.1567575
548,,,5.0,POINT (-72.98137456378143 -39.49131028134363),0.042385000000000006,0.057730000000000004,0.084955,0.1138575,0.30572499999999997,0.25386000000000003,0.14955249999999998
549,,,5.0,POINT (-72.97852421400131 -39.48675247565659),0.038315,0.05803249999999999,0.09145875,0.1268375,0.25595,0.24056375000000002,0.1477375
